#Gen	m	ibd	hibd	ko	ke	s2	thke	Nke	Nbke	lethal	hoDel	he	hoDom	Nobs
1	0	0.0095	0.006	2147	1577.29	145.185	1576.29	3.28379e+06	599113	0	0	0	2000	10000
1	1	0.007	0.0045	2138	1577.6	145.185	1576.6	3.28444e+06	599231	0	0	0	2000	10000
2	0	0.0065	0.006	1788	1253.33	140.903	1252.33	2.60891e+06	461942	0	0	0	2000	10000
2	1	0.009	0.0065	1824	1259.84	140.903	1258.84	2.62248e+06	464345	0	0	0	2000	10000
3	0	0.009	0.0075	1574	1039.5	121.849	1038.5	2.16345e+06	331266	0	0	0	2000	10000
3	1	0.009	0.005	1597	1028.01	121.849	1027.01	2.13952e+06	327602	0	0	0	2000	10000
4	0	0.0105	0.01	1430	910.747	133.57	909.747	1.89523e+06	318111	0	0	0	2000	10000
4	1	0.006	0.008	1402	844.773	133.57	843.773	1.75779e+06	295041	0	0	0	2000	10000
5	0	0.008	0.012	1304	816.743	121.204	815.743	1.69939e+06	258834	0	0	0	2000	10000
5	1	0.0055	0.009	1267	772.872	121.204	771.872	1.608e+06	244914	0	0	0	2000	10000
6	0	0.011	0.011	1227	708.78	136.447	707.78	1.47448e+06	252821	0	0	3	1997	10000
6	1	0.01	0.0125	1181	705.53	136.447	704.53	1.46771e+06	251660	0	0	0	2000	10000
7	0	0.007	0.0095	1150	638.57	128.718	637.57	1.32821e+06	214840	0	0	3	1997	10000
7	1	0.004	0.01	1113	654.343	128.718	653.343	1.36107e+06	220155	0	0	0	2000	10000
8	0	0.0045	0.012	1051	579.542	120.178	578.542	1.20524e+06	182016	0	0	6	1994	10000
8	1	0.006	0.0095	1018	605.785	120.178	604.785	1.25992e+06	190272	0	0	0	2000	10000
9	0	0.0055	0.0145	998	522.705	132.9	521.705	1.08684e+06	181510	0	0	8	1992	10000
9	1	0.0065	0.013	980	585.266	132.9	584.266	1.21717e+06	203276	0	0	0	2000	10000
10	0	0.011	0.0135	933	486.855	138.646	485.855	1.01215e+06	176345	0	0	6	1994	10000
10	1	0.009	0.0115	941	526.489	138.646	525.489	1.09472e+06	190731	0	0	0	2000	10000
11	0	0.004	0.014	868	459.269	138.046	458.269	954686	165613	0	0	8	1992	10000
11	1	0.006	0.016	892	492.308	138.046	491.308	1.02351e+06	177553	0	0	0	2000	10000
12	0	0.0085	0.0165	847	455.192	135.615	454.192	946193	161249	0	0	2	1998	10000
12	1	0.0055	0.0135	846	458.295	135.615	457.295	952658	162351	0	0	0	2000	10000
13	0	0.006	0.0155	803	437.709	134.558	436.709	909771	153834	0	0	3	1997	10000
13	1	0.0055	0.012	799	428.059	134.558	427.059	889669	150435	0	0	0	2000	10000
14	0	0.007	0.0155	789	414.122	154.717	413.122	860633	167327	0	0	6	1994	10000
14	1	0.0115	0.021	782	403.673	154.717	402.673	838867	163095	0	0	0	2000	10000
15	0	0.009	0.0165	757	411.121	140.16	410.121	854382	150483	0	0	8	1992	10000
15	1	0.0125	0.0185	751	384.08	140.16	383.08	798049	140561	0	0	0	2000	10000
16	0	0.01	0.0175	736	381.88	139.992	380.88	793466	139586	1	0	19	1981	10000
16	1	0.0115	0.021	701	360.117	139.992	359.117	748129	131610	1	0	0	2000	10000
17	0	0.0085	0.02	691	365.965	128.689	364.965	760312	122954	0	0	21	1979	10000
17	1	0.0125	0.0195	687	347.584	128.689	346.584	722020	116762	0	0	0	2000	10000
18	0	0.009	0.017	671	350.893	142.678	349.893	728912	130690	0	0	14	1986	10000
18	1	0.0065	0.016	659	341.632	142.678	340.632	709620	127231	0	0	0	2000	10000
19	0	0.01	0.0155	667	342.642	143.542	341.642	711723	128380	1	0	13	1987	10000
19	1	0.009	0.0235	647	333.347	143.542	332.347	692361	124888	1	0	0	2000	10000
20	0	0.0105	0.018	644	328.044	137.168	327.044	681312	117438	1	0	18	1982	10000
20	1	0.011	0.0235	630	312.879	137.168	311.879	649720	111993	1	0	0	2000	10000
21	0	0.0105	0.0275	635	323.219	124.084	322.219	671262	104669	0	0	12	1988	10000
21	1	0.01	0.0195	608	316.481	124.084	315.481	657224	102480	0	0	0	2000	10000
22	0	0.008	0.0195	622	321.427	143.744	320.427	667528	120578	1	0	10	1990	10000
22	1	0.005	0.01	591	300.233	143.744	299.233	623375	112603	1	0	0	2000	10000
23	0	0.0065	0.021	605	307.87	144.937	306.87	639285	116435	2	0	8	1992	10000
23	1	0.0075	0.021	585	308.333	144.937	307.333	640249	116611	2	0	0	2000	10000
24	0	0.0075	0.011	569	287.697	137.201	286.697	597261	102975	1	0	6	1994	10000
